Volatility 3 Framework 2.26.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xca82b7deeb20	TCPv4	192.168.19.133	49763	2.18.162.9	443	ESTABLISHED	2500	svchost.exe	2024-02-01 19:52:57.000000 UTC
0xca82b7abdaf0	TCPv4	192.168.19.133	49739	40.115.3.253	443	ESTABLISHED	3356	svchost.exe	2024-02-01 19:51:25.000000 UTC
0xca82b87e8a20	TCPv4	192.168.19.133	49697	95.100.200.202	443	CLOSE_WAIT	5912	WWAHost.exe	2024-02-01 19:49:20.000000 UTC
0xca82b8bd7a20	TCPv4	192.168.19.133	49695	95.100.200.202	443	CLOSE_WAIT	5912	WWAHost.exe	2024-02-01 19:49:20.000000 UTC
0xca82b7861a20	TCPv4	192.168.19.133	49761	2.16.149.135	80	ESTABLISHED	2500	svchost.exe	2024-02-01 19:52:57.000000 UTC
0xca82b87f3010	TCPv4	192.168.19.133	49691	192.229.221.95	80	CLOSE_WAIT	5912	WWAHost.exe	2024-02-01 19:49:20.000000 UTC
0xca82b8005a20	TCPv4	192.168.19.133	49693	95.100.200.202	443	CLOSE_WAIT	5912	WWAHost.exe	2024-02-01 19:49:20.000000 UTC
0xca82b3fc74d0	TCPv4	192.168.19.133	49759	2.18.162.9	443	ESTABLISHED	2500	svchost.exe	2024-02-01 19:52:56.000000 UTC
0xca82b8ba9a20	TCPv4	192.168.19.133	49699	95.100.200.202	443	CLOSE_WAIT	5912	WWAHost.exe	2024-02-01 19:49:20.000000 UTC
0xca82b8b98a20	TCPv4	192.168.19.133	49760	2.18.162.9	443	ESTABLISHED	2500	svchost.exe	2024-02-01 19:52:57.000000 UTC
0xca82b7f1fa20	TCPv4	192.168.19.133	49692	95.100.200.202	443	CLOSE_WAIT	5912	WWAHost.exe	2024-02-01 19:49:20.000000 UTC
0xca82b8564050	TCPv4	192.168.19.133	49755	20.199.120.85	443	ESTABLISHED	3356	svchost.exe	2024-02-01 19:52:25.000000 UTC
0xca82b38b0730	TCPv4	192.168.19.133	49765	52.179.219.14	443	ESTABLISHED	2500	svchost.exe	2024-02-01 19:52:58.000000 UTC
0xca82b78cba20	TCPv4	192.168.19.133	49694	95.100.200.202	443	CLOSE_WAIT	5912	WWAHost.exe	2024-02-01 19:49:20.000000 UTC
0xca82b7e5a700	TCPv4	192.168.19.133	49700	95.100.200.202	443	CLOSE_WAIT	5912	WWAHost.exe	2024-02-01 19:49:20.000000 UTC
0xca82b8bc2b30	TCPv4	192.168.19.133	49682	58.64.204.181	5202	SYN_SENT	4628	ChromeSetup.ex	2024-02-01 19:48:51.000000 UTC
0xca82b8baea20	TCPv4	192.168.19.133	49696	95.100.200.202	443	CLOSE_WAIT	5912	WWAHost.exe	2024-02-01 19:49:20.000000 UTC
0xca82b1c2ed30	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	928	svchost.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2ed30	TCPv6	::	135	::	0	LISTENING	928	svchost.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2e0d0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	928	svchost.exe	2024-02-01 19:48:24.000000 UTC
0xca82b3fe2a70	TCPv4	192.168.19.133	139	0.0.0.0	0	LISTENING	4	System	2024-02-01 19:48:26.000000 UTC
0xca82b0eadb50	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2024-02-01 19:48:25.000000 UTC
0xca82b0eadb50	TCPv6	::	445	::	0	LISTENING	4	System	2024-02-01 19:48:25.000000 UTC
0xca82b3fe19f0	TCPv4	0.0.0.0	5040	0.0.0.0	0	LISTENING	3104	svchost.exe	2024-02-01 19:48:31.000000 UTC
0xca82b0ead9f0	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	2500	svchost.exe	2024-02-01 19:48:25.000000 UTC
0xca82b0ead9f0	TCPv6	::	7680	::	0	LISTENING	2500	svchost.exe	2024-02-01 19:48:25.000000 UTC
0xca82b1c2ebd0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	676	lsass.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2ebd0	TCPv6	::	49664	::	0	LISTENING	676	lsass.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2e910	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	676	lsass.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2ee90	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	524	wininit.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2ee90	TCPv6	::	49665	::	0	LISTENING	524	wininit.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2d470	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	524	wininit.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2e230	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1136	svchost.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2e230	TCPv6	::	49666	::	0	LISTENING	1136	svchost.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2d5d0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1136	svchost.exe	2024-02-01 19:48:24.000000 UTC
0xca82b37e9a70	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1144	svchost.exe	2024-02-01 19:48:24.000000 UTC
0xca82b37e9a70	TCPv6	::	49667	::	0	LISTENING	1144	svchost.exe	2024-02-01 19:48:24.000000 UTC
0xca82b1c2e7b0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1144	svchost.exe	2024-02-01 19:48:24.000000 UTC
0xca82b0eadcb0	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2564	spoolsv.exe	2024-02-01 19:48:25.000000 UTC
0xca82b0eadcb0	TCPv6	::	49668	::	0	LISTENING	2564	spoolsv.exe	2024-02-01 19:48:25.000000 UTC
0xca82b0ead5d0	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2564	spoolsv.exe	2024-02-01 19:48:25.000000 UTC
0xca82b3fe11b0	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	660	services.exe	2024-02-01 19:48:25.000000 UTC
0xca82b3fe11b0	TCPv6	::	49669	::	0	LISTENING	660	services.exe	2024-02-01 19:48:25.000000 UTC
0xca82b3fe2390	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	660	services.exe	2024-02-01 19:48:25.000000 UTC
0xca82b711f470	TCPv4	0.0.0.0	49670	0.0.0.0	0	LISTENING	2920	svchost.exe	2024-02-01 19:48:26.000000 UTC
0xca82b711f470	TCPv6	::	49670	::	0	LISTENING	2920	svchost.exe	2024-02-01 19:48:26.000000 UTC
0xca82b711f050	TCPv4	0.0.0.0	49670	0.0.0.0	0	LISTENING	2920	svchost.exe	2024-02-01 19:48:26.000000 UTC
0xca82b748db00	UDPv4	192.168.19.133	137	*	0		4	System	2024-02-01 19:48:26.000000 UTC
0xca82b748d650	UDPv4	192.168.19.133	138	*	0		4	System	2024-02-01 19:48:26.000000 UTC
0xca82b3d5f6f0	UDPv4	0.0.0.0	500	*	0		2912	svchost.exe	2024-02-01 19:48:25.000000 UTC
0xca82b3d5f6f0	UDPv6	::	500	*	0		2912	svchost.exe	2024-02-01 19:48:25.000000 UTC
0xca82b3d5e750	UDPv4	0.0.0.0	500	*	0		2912	svchost.exe	2024-02-01 19:48:25.000000 UTC
0xca82b3d5fba0	UDPv4	0.0.0.0	4500	*	0		2912	svchost.exe	2024-02-01 19:48:25.000000 UTC
0xca82b3d5fba0	UDPv6	::	4500	*	0		2912	svchost.exe	2024-02-01 19:48:25.000000 UTC
0xca82b3d5f560	UDPv4	0.0.0.0	4500	*	0		2912	svchost.exe	2024-02-01 19:48:25.000000 UTC
0xca82b748e460	UDPv4	0.0.0.0	5353	*	0		2244	svchost.exe	2024-02-01 19:48:26.000000 UTC
0xca82b748e460	UDPv6	::	5353	*	0		2244	svchost.exe	2024-02-01 19:48:26.000000 UTC
0xca82b748e780	UDPv4	0.0.0.0	5353	*	0		2244	svchost.exe	2024-02-01 19:48:26.000000 UTC
0xca82b7492150	UDPv4	0.0.0.0	5355	*	0		2244	svchost.exe	2024-02-01 19:48:26.000000 UTC
0xca82b7492150	UDPv6	::	5355	*	0		2244	svchost.exe	2024-02-01 19:48:26.000000 UTC
0xca82b748fd60	UDPv4	0.0.0.0	5355	*	0		2244	svchost.exe	2024-02-01 19:48:26.000000 UTC
0xca82b3f676a0	UDPv4	127.0.0.1	60166	*	0		3040	svchost.exe	2024-02-01 19:48:25.000000 UTC
