Last Visit Time	Term	URL
2023-09-19 18:07:03	google	"https://www.google.com/search?q=google&oq=google&aqs=chrome..69i57j0l3.1381j0j7&client=ms-
unknown&sourceid=chrome-mobile&ie=UTF-8"
2023-09-19 18:07:55	gmail	"https://www.google.com/search?q=gmail&source=hp&sca_esv=566667171&oq=gmail&gs_l=mobile-heirloom-hp.3
..0i512i433i131j0i512i433j0i512i433i131l3.4172.4689.0.5079.6.4.0.2.2.0.0.0..4.0....0...1c.1j4.34.mob
ile-heirloom-hp..5.1.4.mFsUG56jBfk"
2023-09-19 18:08:16	facebook	https://www.google.com/search?sca_esv=566667171&q=facebook&oq=face&aqs=heirloom-srp.0.0l5
2023-09-19 18:09:40	noon egypt	https://www.google.com/search?sca_esv=566667171&q=noon+egypt&oq=noon&aqs=heirloom-srp.1.0l5
2023-09-19 18:09:48	amazon	https://www.google.com/search?sca_esv=566667171&q=amazon&oq=amazon&aqs=heirloom-srp..0l5
2023-09-19 18:46:17	amazon eg	"https://www.google.com/search?q=amazon+eg&oq=amazon+eg&aqs=chrome..69i57j0j5j69i60l2j0.2301j0j4&clie
nt=ms-unknown&sourceid=chrome-mobile&ie=UTF-8"
2023-09-19 18:48:17	What is cryptocurrency trading?	"https://www.google.com/search?q=What+is+cryptocurrency+trading%3F&oq=What+is+cryptocurrency+trading%
3F&aqs=chrome..69i57j0l3.2369j0j4&client=ms-unknown&sourceid=chrome-mobile&ie=UTF-8"
2023-09-19 18:50:06	What are the best platforms for cryptocurrency trading?	"https://www.google.com/search?client=ms-unknown&sca_esv=566667171&q=What+are+the+best+platforms+for+
cryptocurrency+trading%3F&oq=What+is+cryptocurrency+trading%3F&aqs=heirloom-srp.."
2023-09-19 18:50:36	What are the best platforms for cryptocurrency trading?	"https://www.google.com/search?q=What+are+the+best+platforms+for+cryptocurrency+trading%3F&client=ms-
unknown&sca_esv=566667171&ei=H-0JZZ-fIIuLkdUPkoGxaA&start=10&sa=N"
2023-09-19 18:56:21	What are the best platforms for trading?	"https://www.google.com/search?client=ms-unknown&sca_esv=566667171&q=What+are+the+best+platforms+for+
trading%3F&oq=What+are+the+best+platforms+for+trading%3F&aqs=heirloom-srp..0l5"
2023-09-19 20:18:27	What is the easiest country to travel to from Egypt?	"https://www.google.com/search?q=What+is+the+easiest+country+to+travel+to+from+Egypt%3F&oq=What+is+th
e+easiest+country+to+travel+to+from+Egypt%3F&aqs=chrome..69i57j33l3.2923j0j7&client=ms-
unknown&sourceid=chrome-mobile&ie=UTF-8"
2023-09-19 20:20:26	What are the best trading platforms?	"https://www.google.com/search?client=ms-
unknown&sca_esv=566704995&q=What+are+the+best+trading+platforms%3F&oq=&aqs=heirloom-srp.."
2023-09-19 21:54:08	How to get started in trading?	"https://www.google.com/search?client=ms-unknown&sca_esv=566704995&q=How+to+get+started+in+trading%3F
&oq=What+are+the+best+trading+platforms%3F&aqs=heirloom-srp.."
2023-09-19 21:54:36	youtube	"https://www.google.com/search?q=youtube&oq=you&aqs=chrome.0.0j69i57j0l2.1357j0j4&client=ms-
unknown&sourceid=chrome-mobile&ie=UTF-8"
2023-09-20 20:15:22	google	"https://www.google.com/search?q=google&oq=goog&aqs=chrome.0.69i59j69i57j69i60l4.1094j0j4&client=ms-
unknown&sourceid=chrome-mobile&ie=UTF-8"
2023-09-20 23:51:02	How to reschedule an already booked flight?	"https://www.google.com/search?q=How+to+reschedule+an+already+booked+flight%3F&oq=How+to+reschedule+a
n+already+booked+flight%3F&aqs=chrome..69i57.1123j0j7&client=ms-unknown&sourceid=chrome-
mobile&ie=UTF-8"
