Type	Package	Permission	Granted?
package	com.google.android.youtube	com.google.android.c2dm.permission.RECEIVE	true
package	com.google.android.youtube	android.permission.USE_CREDENTIALS	true
package	com.google.android.youtube	com.google.android.providers.gsf.permission.READ_GSERVICES	true
package	com.google.android.youtube	com.google.android.youtube.permission.C2D_MESSAGE	true
package	com.google.android.youtube	android.permission.MANAGE_ACCOUNTS	true
package	com.google.android.youtube	android.permission.SYSTEM_ALERT_WINDOW	true
package	com.google.android.youtube	android.permission.NFC	true
package	com.google.android.youtube	android.permission.FOREGROUND_SERVICE	true
package	com.google.android.youtube	android.permission.RECEIVE_BOOT_COMPLETED	true
package	com.google.android.youtube	com.google.android.gms.permission.AD_ID_NOTIFICATION	true
package	com.google.android.youtube	android.permission.INTERNET	true
package	com.google.android.youtube	android.permission.GET_PACKAGE_SIZE	true
package	com.google.android.youtube	android.permission.ACCESS_NETWORK_STATE	true
package	com.google.android.youtube	android.permission.USE_FINGERPRINT	true
package	com.google.android.youtube	android.permission.VIBRATE	true
package	com.google.android.youtube	android.permission.ACCESS_WIFI_STATE	true
package	com.google.android.youtube	android.permission.WAKE_LOCK	true
package	com.google.android.ext.services	android.permission.PROVIDE_RESOLVER_RANKER_SERVICE	true
package	com.android.providers.telephony	android.permission.DOWNLOAD_WITHOUT_NOTIFICATION	true
package	com.android.providers.telephony	android.permission.WRITE_SETTINGS	true
package	com.android.providers.telephony	android.permission.MODIFY_AUDIO_SETTINGS	true
package	com.android.providers.telephony	android.permission.USE_RESERVED_DISK	true
package	com.android.providers.telephony	android.permission.MANAGE_ACCOUNTS	true
package	com.android.providers.telephony	android.permission.SYSTEM_ALERT_WINDOW	true
package	com.android.providers.telephony	android.permission.BIND_CARRIER_SERVICES	true
package	com.android.providers.telephony	android.permission.SEND_RESPOND_VIA_MESSAGE	true
package	com.android.providers.telephony	android.permission.SHUTDOWN	true
package	com.android.providers.telephony	android.permission.CHANGE_COMPONENT_ENABLED_STATE	true
package	com.android.providers.telephony	android.permission.INTERNAL_SYSTEM_WINDOW	true
package	com.android.providers.telephony	android.permission.NETWORK_SETTINGS	true
package	com.android.providers.telephony	android.permission.BROADCAST_SMS	true
package	com.android.providers.telephony	android.permission.CALL_PRIVILEGED	true
package	com.android.providers.telephony	android.permission.CHANGE_NETWORK_STATE	true
package	com.android.providers.telephony	android.permission.WRITE_SYNC_SETTINGS	true
package	com.android.providers.telephony	android.permission.RECEIVE_BOOT_COMPLETED	true
package	com.android.providers.telephony	android.permission.DEVICE_POWER	true
package	com.android.providers.telephony	android.permission.SET_TIME_ZONE	true
package	com.android.providers.telephony	android.permission.BLUETOOTH	true
package	com.android.providers.telephony	android.permission.BROADCAST_WAP_PUSH	true
package	com.android.providers.telephony	com.android.voicemail.permission.READ_VOICEMAIL	true
package	com.android.providers.telephony	android.permission.WRITE_BLOCKED_NUMBERS	true
package	com.android.providers.telephony	android.permission.AUTHENTICATE_ACCOUNTS	true
package	com.android.providers.telephony	android.permission.INTERNET	true
package	com.android.providers.telephony	android.permission.REORDER_TASKS	true
package	com.android.providers.telephony	android.permission.BLUETOOTH_ADMIN	true
package	com.android.providers.telephony	android.permission.UPDATE_DEVICE_STATS	true
package	com.android.providers.telephony	android.permission.WRITE_EMBEDDED_SUBSCRIPTIONS	true
package	com.android.providers.telephony	android.permission.PERFORM_CDMA_PROVISIONING	true
package	com.android.providers.telephony	android.permission.REGISTER_CALL_PROVIDER	true
package	com.android.providers.telephony	android.permission.INTERACT_ACROSS_USERS_FULL	true
package	com.android.providers.telephony	android.permission.STOP_APP_SWITCHES	true
package	com.android.providers.telephony	android.permission.PACKAGE_USAGE_STATS	true
package	com.android.providers.telephony	android.permission.WRITE_SECURE_SETTINGS	true
package	com.android.providers.telephony	android.permission.READ_BLOCKED_NUMBERS	true
package	com.android.providers.telephony	android.permission.READ_SEARCH_INDEXABLES	true
package	com.android.providers.telephony	android.permission.READ_PRIVILEGED_PHONE_STATE	true
package	com.android.providers.telephony	android.permission.ACCESS_IMS_CALL_SERVICE	true
package	com.android.providers.telephony	android.permission.BROADCAST_STICKY	true
package	com.android.providers.telephony	android.permission.WRITE_SMS	true
package	com.android.providers.telephony	android.permission.SET_TIME	true
package	com.android.providers.telephony	android.permission.WRITE_APN_SETTINGS	true
package	com.android.providers.telephony	android.permission.CHANGE_WIFI_STATE	true
package	com.android.providers.telephony	android.permission.BIND_CARRIER_MESSAGING_SERVICE	true
package	com.android.providers.telephony	android.permission.BIND_EUICC_SERVICE	true
package	com.android.providers.telephony	android.permission.BIND_VISUAL_VOICEMAIL_SERVICE	true
package	com.android.providers.telephony	android.permission.MANAGE_USERS	true
package	com.android.providers.telephony	android.permission.SET_PREFERRED_APPLICATIONS	true
package	com.android.providers.telephony	android.permission.ACCESS_NETWORK_STATE	true
package	com.android.providers.telephony	android.permission.DISABLE_KEYGUARD	true
package	com.android.providers.telephony	android.permission.CHANGE_CONFIGURATION	true
package	com.android.providers.telephony	android.permission.LOCAL_MAC_ADDRESS	true
package	com.android.providers.telephony	android.permission.INTERACT_ACROSS_USERS	true
package	com.android.providers.telephony	android.permission.UPDATE_LOCK	true
package	com.android.providers.telephony	android.permission.READ_NETWORK_USAGE_HISTORY	true
package	com.android.providers.telephony	android.permission.REGISTER_SIM_SUBSCRIPTION	true
package	com.android.providers.telephony	android.permission.REBOOT	true
package	com.android.providers.telephony	android.permission.MANAGE_NETWORK_POLICY	true
package	com.android.providers.telephony	android.permission.CONNECTIVITY_INTERNAL	true
